
,providerId,locationId,organisationType,type,name,region,postalCode,onspdLatitude,onspdLongitude,rating_overall,reportDate,rating_caring,rating_effective,rating_responsive,rating_safe,rating_wellled,URL,Location_type,Location_subtype,Report_URL,Corpus_duplication_check
144,1-102643516,1-115574718,Location,Independent Healthcare Org,Nuffield Health Tees Hospital,North East,TS20 1PX,54.593996,-1.331957,Outstanding,10/12/2017,Outstanding,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/location/1-115574718,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG3186.pdf,included
145,1-102643516,1-115574737,Location,Independent Healthcare Org,Nuffield Health The Grosvenor Hospital Chester,North West,CH4 7QP,53.176342,-2.895261,Good,12/23/2016,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115574737,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF6760.pdf,included
146,1-102643516,1-115574757,Location,Independent Healthcare Org,Nuffield Health The Manor Hospital Oxford,South East,OX3 7RP,51.760443,-1.215533,Good,12/20/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115574757,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH8332.pdf,included
147,1-102643516,1-115574778,Location,Independent Healthcare Org,Nuffield Health Tunbridge Wells Hospital,South East,TN2 4UL,51.131519,0.278039,Good,7/11/2017,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115574778,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG2754.pdf,included
148,1-102643516,1-115574798,Location,Independent Healthcare Org,Nuffield Health Warwickshire Hospital,West Midlands,CV32 6RW,52.308511,-1.543868,Good,3/10/2017,Good,Requires improvement,Good,Good,Good,http://www.cqc.org.uk/location/1-115574798,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG3496.pdf,included
149,1-102643516,1-115574818,Location,Independent Healthcare Org,Nuffield Health Wessex Hospital,South East,SO53 2DW,50.9945,-1.362959,Good,11/20/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115574818,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH8307.pdf,included
150,1-102643516,1-115574838,Location,Independent Healthcare Org,Nuffield Health Woking Hospital,South East,GU21 4BY,51.332208,-0.56138,Good,8/4/2017,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115574838,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG6642.pdf,included
151,1-102643516,1-115574857,Location,Independent Healthcare Org,Nuffield Health Wolverhampton Hospital,West Midlands,WV6 8LE,52.593461,-2.171537,Good,4/27/2017,Good,Good,Good,Good,Requires improvement,http://www.cqc.org.uk/location/1-115574857,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4650.pdf,included
152,1-102643516,1-115574877,Location,Independent Healthcare Org,Nuffield Health York Hospital,Yorkshire & Humberside,YO31 8TA,53.974719,-1.075584,Good,6/14/2017,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115574877,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF7889.pdf,included
155,1-101726553,1-115824181,Location,Independent Healthcare Org,Queen Anne Street Medical Centre Limited,London,W1G 8HU,51.518199,-0.147043,Good,10/8/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-115824181,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6247.pdf,included
170,1-101728184,1-116702092,Location,Independent Healthcare Org,Uplands Independent Hospital,South East,PO16 7HH,50.861929,-1.186115,Good,2/12/2019,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-116702092,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH9789.pdf,included
179,1-101725628,1-116950764,Location,Independent Healthcare Org,St Matthews Hospital,East Midlands,NN2 7HF,52.251111,-0.878881,Good,8/13/2019,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-116950764,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3585.pdf,included
191,1-101725000,1-117350917,Location,Independent Healthcare Org,Royal Hospital for Neuro-Disability,London,SW15 3SW,51.452204,-0.213735,Good,9/21/2017,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-117350917,Independent Healthcare Org,Acute hospital - Independent specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4773.pdf,included
196,1-101634320,1-117862148,Location,Independent Healthcare Org,Vision MH - Cornerstone House,East,WD6 3QU,51.645031,-0.267984,Outstanding,12/20/2017,Outstanding,Good,Good,Outstanding,Outstanding,http://www.cqc.org.uk/location/1-117862148,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG8727.pdf,included
197,1-101635529,1-118024670,Location,Independent Healthcare Org,Benenden Hospital,South East,TN17 4AX,51.086649,0.6161,Outstanding,5/11/2017,Outstanding,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/location/1-118024670,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG2748.pdf,included
201,1-101725794,1-118323084,Location,Independent Healthcare Org,The Nottingham Road Clinic,East Midlands,NG18 4AA,53.131258,-1.195721,Good,1/18/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-118323084,Independent Healthcare Org,Acute Services - Non Hospital,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH6729.pdf,included
204,1-101725130,1-118514298,Location,Independent Healthcare Org,Cygnet Hospital Colchester,East,CO4 5HF,51.921689,0.892056,Inadequate,1/30/2020,Requires improvement,Requires improvement,Requires improvement,Inadequate,Inadequate,http://www.cqc.org.uk/location/1-118514298,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ7357.pdf,included
205,1-101725155,1-118576946,Location,Independent Healthcare Org,Optegra Surrey Eye Hospital,South East,GU2 7YF,51.241157,-0.61326,Good,2/16/2018,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-118576946,Independent Healthcare Org,Acute hospital - Independent specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH0758.pdf,included
206,1-101635276,1-118593281,Location,Independent Healthcare Org,Tetbury Hospital,South West,GL8 8XB,51.635175,-2.154744,Requires improvement,3/29/2017,Good,Requires improvement,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-118593281,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG0214.pdf,included
213,1-101727205,1-118839442,Location,Independent Healthcare Org,The Belvedere Private Hospital,London,SE2 0GD,51.482611,0.121274,Requires improvement,9/27/2019,Good,Requires improvement,Requires improvement,Requires improvement,Inadequate,http://www.cqc.org.uk/location/1-118839442,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6154.pdf,included
214,1-101728647,1-118905968,Location,Independent Healthcare Org,Dartmouth House,West Midlands,B20 2DT,52.516689,-1.924565,Good,6/25/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-118905968,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH2630.pdf,included
219,1-101635590,1-119173823,Location,Independent Healthcare Org,The Retreat - York,Yorkshire & Humberside,YO10 5BN,53.950822,-1.063136,Requires improvement,10/2/2019,Good,Good,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-119173823,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ5250.pdf,included
221,1-101727364,1-119269999,Location,Independent Healthcare Org,Circle Hospital (Bath) Ltd,South West,BA2 8SQ,51.311327,-2.416516,Good,4/24/2017,Outstanding,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-119269999,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4600.pdf,included
223,1-101727389,1-119365384,Location,Independent Healthcare Org,Clatterbridge NHS Dialysis Unit,North West,CH63 4JY,53.332884,-3.024137,Good,8/8/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-119365384,Independent Healthcare Org,Acute hospital - Independent specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ5565.pdf,included
228,1-101635094,1-119405696,Location,Independent Healthcare Org,The Cardinal Clinic,South East,SL4 5UL,51.482342,-0.663161,Good,6/13/2019,Outstanding,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-119405696,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2951.pdf,included
239,1-585407111,1-1202558282,Location,Independent Healthcare Org,Greater Lancashire Hospital,North West,PR2 5BW,53.786429,-2.647808,Good,4/25/2017,Outstanding,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-1202558282,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG2341.pdf,included
240,1-101728503,1-120261406,Location,Independent Healthcare Org,Sherwood Lodge Independent Healthcare,South West,BS23 1DW,51.338891,-2.979774,Good,7/13/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-120261406,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4170.pdf,included
243,1-101728426,1-120450386,Location,Independent Healthcare Org,Tarporley War Memorial Hospital,North West,CW6 0AP,53.159215,-2.666738,Good,1/15/2020,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-120450386,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ8895.pdf,included
246,1-101725518,1-120632398,Location,Independent Healthcare Org,Midland Eye,West Midlands,B91 2AW,52.419963,-1.775711,Good,3/28/2018,Good,Good,Good,Good,Outstanding,http://www.cqc.org.uk/location/1-120632398,Independent Healthcare Org,Acute hospital - Independent specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH0757.pdf,included
247,1-101634515,1-120679072,Location,Independent Healthcare Org,Newbridge House,West Midlands,B74 3NE,52.579883,-1.884671,Outstanding,8/1/2018,Good,Outstanding,Outstanding,Good,Good,http://www.cqc.org.uk/location/1-120679072,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4975.pdf,included
249,1-101727692,1-120743338,Location,Independent Healthcare Org,The Priory Hospital Market Weighton,Yorkshire & Humberside,YO43 3EQ,53.864221,-0.670763,Outstanding,5/9/2018,Outstanding,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/location/1-120743338,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1865.pdf,included
251,1-101647164,1-120794537,Location,Independent Healthcare Org,The Hamptons,North West,PR5 6AQ,53.715787,-2.640024,Outstanding,2/23/2018,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/location/1-120794537,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG9965.pdf,included
253,1-101725727,1-120823913,Location,Independent Healthcare Org,Cambridge Heart Clinic,East,CB2 0QQ,52.173741,0.139114,Good,11/15/2016,Good,Good,Good,Good,Requires improvement,http://www.cqc.org.uk/location/1-120823913,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF7912.pdf,included
257,1-101634337,1-121455021,Location,Independent Healthcare Org,The WoodHouse Independent Hospital,West Midlands,ST10 4QU,53.000281,-1.962469,Inadequate,9/3/2019,Requires improvement,Inadequate,Requires improvement,Requires improvement,Inadequate,http://www.cqc.org.uk/location/1-121455021,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ5085.pdf,included
260,1-102643363,1-121538205,Location,Independent Healthcare Org,St Andrew's Healthcare - Mens Service,East Midlands,NN1 5DG,52.238142,-0.873701,Requires improvement,6/6/2018,Good,Good,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-121538205,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ5492.pdf,included
261,1-102643363,1-121538225,Location,Independent Healthcare Org,St Andrew's Healthcare - Womens Service,East Midlands,NN1 5DG,52.238142,-0.873701,Good,8/7/2017,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-121538225,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4683.pdf,included
262,1-102643363,1-121538260,Location,Independent Healthcare Org,St Andrew's Healthcare - Neuropsychiatry Service,East Midlands,NN1 5DG,52.238142,-0.873701,Good,8/7/2017,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-121538260,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG5931.pdf,included
263,1-102643363,1-121538276,Location,Independent Healthcare Org,St Andrew's Healthcare - Adolescents Service,East Midlands,NN1 5DG,52.238142,-0.873701,Inadequate,6/6/2019,Inadequate,Good,Good,Inadequate,Inadequate,http://www.cqc.org.uk/location/1-121538276,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3174.pdf,included
264,1-102643363,1-121538294,Location,Independent Healthcare Org,St Andrew's Healthcare - Birmingham,West Midlands,B30 2XR,52.436106,-1.915965,Good,8/28/2018,Good,Good,Outstanding,Requires improvement,Good,http://www.cqc.org.uk/location/1-121538294,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH6590.pdf,included
265,1-102643363,1-121538312,Location,Independent Healthcare Org,St Andrew's Healthcare - Essex,East,SS12 9JP,51.586544,0.537777,Good,9/18/2017,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-121538312,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG7044.pdf,included
275,1-101606240,1-121852568,Location,Independent Healthcare Org,Lakeside,East,MK44 3AS,52.198325,-0.310295,Requires improvement,12/31/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-121852568,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ8168.pdf,included
290,1-102642564,1-124012368,Location,Independent Healthcare Org,Turning Point - Pendlebury House,North West,M27 4BF,53.515567,-2.33148,Outstanding,7/25/2016,Outstanding,Good,Outstanding,Good,Good,http://www.cqc.org.uk/location/1-124012368,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF2709.pdf,included
291,1-102642564,1-124012636,Location,Independent Healthcare Org,Turning Point - Douglas House,North West,M20 2TR,53.420687,-2.240172,Outstanding,8/4/2016,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/location/1-124012636,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF5447.pdf,included
303,1-116865921,1-125720275,Location,Independent Healthcare Org,Rochdale Ophthalmology Clinical Assessment and Treatment Service,North West,OL16 2UP,53.622824,-2.14084,Outstanding,4/21/2017,Outstanding,Outstanding,Good,Good,Good,http://www.cqc.org.uk/location/1-125720275,Independent Healthcare Org,Acute hospital - Independent specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4599.pdf,included
305,1-102642955,1-125862414,Location,Independent Healthcare Org,Castle Lodge Independent Hospital,Yorkshire & Humberside,HU7 4FG,53.788619,-0.307088,Good,10/11/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-125862414,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6789.pdf,included
306,1-102642955,1-125863173,Location,Independent Healthcare Org,Windermere House Independent Hospital,Yorkshire & Humberside,HU9 2BH,53.749938,-0.30834,Good,6/27/2018,Good,Requires improvement,Good,Good,Good,http://www.cqc.org.uk/location/1-125863173,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH3500.pdf,included
307,1-102642955,1-125863239,Location,Independent Healthcare Org,The Billingham Grange Independent Hospital,North East,TS23 3TY,54.61868,-1.291769,Outstanding,1/10/2019,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/location/1-125863239,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH2476.pdf,included
308,1-118166429,1-125888076,Location,Independent Healthcare Org,Chadwick Lodge,South East,MK6 5LS,52.0279,-0.740592,Good,2/9/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-125888076,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1246.pdf,included
309,1-118166429,1-125888097,Location,Independent Healthcare Org,Farmfield,South East,RH6 0BN,51.16637,-0.201971,Requires improvement,4/6/2018,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-125888097,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1812.pdf,included
310,1-118166429,1-125888117,Location,Independent Healthcare Org,Thornford Park,South East,RG19 8ET,51.380981,-1.249739,Good,2/5/2018,Good,Good,Requires improvement,Good,Good,http://www.cqc.org.uk/location/1-125888117,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG9283.pdf,included
311,1-118166429,1-125888136,Location,Independent Healthcare Org,Sturt House,South East,KT20 7RQ,51.271543,-0.253722,Good,11/6/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-125888136,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH7202.pdf,included
313,1-101727846,1-126280639,Location,Independent Healthcare Org,Frenchay Brain Injury Rehabilitation Centre,South West,BS16 1UU,51.498963,-2.522208,Good,1/15/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-126280639,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4905.pdf,included
314,1-101634183,1-1263012334,Location,Independent Healthcare Org,Exeter Medical,South West,EX1 3QF,50.72848,-3.468943,Good,7/10/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-1263012334,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2427.pdf,included
315,1-101727846,1-126333080,Location,Independent Healthcare Org,Thames Brain Injury Unit,London,SE10 8AD,51.472269,-0.011132,Good,9/12/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-126333080,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH6580.pdf,included
318,1-116865897,1-1265559130,Location,Independent Healthcare Org,Avesbury House,London,N18 1PQ,51.615297,-0.075924,Good,5/12/2017,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-1265559130,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4598.pdf,included
320,1-101727003,1-126736267,Location,Independent Healthcare Org,Bromley Road Hospital,London,SE6 2UR,51.439068,-0.020161,Good,12/18/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-126736267,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH9640.pdf,included
327,1-101728688,1-126955711,Location,Independent Healthcare Org,The Wellington Hospital,London,NW8 9LE,51.531549,-0.171472,Good,2/13/2017,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-126955711,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF9039.pdf,included
328,1-101728688,1-126955732,Location,Independent Healthcare Org,The Princess Grace Hospital,London,W1U 5NY,51.522365,-0.152928,Requires improvement,5/30/2018,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-126955732,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1709.pdf,included
329,1-101728688,1-126955771,Location,Independent Healthcare Org,The Harley Street Clinic,London,W1G 8BJ,51.520357,-0.148195,Outstanding,1/4/2017,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/location/1-126955771,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF7958.pdf,included
330,1-101728688,1-126955790,Location,Independent Healthcare Org,HCA Healthcare UK at University College Hospital,London,NW1 2BU,51.524891,-0.136911,Outstanding,6/29/2017,Outstanding,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/location/1-126955790,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4309.pdf,included
332,1-101728688,1-126955884,Location,Independent Healthcare Org,The Lister Hospital,London,SW1W 8RH,51.486519,-0.150502,Outstanding,6/30/2017,Good,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/location/1-126955884,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG3823.pdf,included
333,1-101728688,1-126955902,Location,Independent Healthcare Org,The London Bridge Hospital,London,SE1 2PR,51.506327,-0.085893,Outstanding,2/9/2017,Good,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/location/1-126955902,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF8665.pdf,included
334,1-101728688,1-126955917,Location,Independent Healthcare Org,The Portland Hospital for Women and Children,London,W1W 5AH,51.522923,-0.144371,Good,6/19/2017,Good,Good,Outstanding,Good,Good,http://www.cqc.org.uk/location/1-126955917,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF9970.pdf,included
335,1-118166439,1-127047829,Location,Independent Healthcare Org,The Priory Hospital Hemel Hempstead,East,HP3 0BN,51.732408,-0.498084,Good,9/5/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-127047829,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH6617.pdf,included
336,1-118166439,1-127047890,Location,Independent Healthcare Org,The Priory Highbank Centre,North West,BL9 5LX,53.62976,-2.302374,Good,5/24/2019,Good,Good,Good,Good,Requires improvement,http://www.cqc.org.uk/location/1-127047890,Independent Healthcare Org,Acute hospital - Independent specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2513.pdf,included
337,1-102643442,1-127132097,Location,Independent Healthcare Org,The Priory Hospital Altrincham,North West,WA15 0NX,53.367202,-2.327394,Good,1/21/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-127132097,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2664.pdf,included
338,1-102643442,1-127132142,Location,Independent Healthcare Org,The Priory Hospital Bristol,South West,BS16 1EQ,51.482972,-2.55823,Good,3/15/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-127132142,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0402.pdf,included
339,1-102643442,1-127132163,Location,Independent Healthcare Org,Priory Wellbeing Centre - Canterbury,South East,CT1 2LU,51.281215,1.084853,Good,8/8/2018,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-127132163,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4938.pdf,included
340,1-102643442,1-127132186,Location,Independent Healthcare Org,The Priory Hospital Chelmsford,East,CM1 7SJ,51.743179,0.487761,Requires improvement,7/19/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/location/1-127132186,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG0134.pdf,included
341,1-102643442,1-127132208,Location,Independent Healthcare Org,The Priory Hospital Hayes Grove,London,BR2 7AS,51.372805,0.013892,Good,12/31/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-127132208,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0163.pdf,included
342,1-102643442,1-127132229,Location,Independent Healthcare Org,The Priory Hospital North London,London,N14 6RA,51.63218,-0.117808,Good,1/10/2020,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-127132229,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6216.pdf,included
343,1-102643442,1-127132249,Location,Independent Healthcare Org,The Priory Hospital Nottingham,East Midlands,NG3 5GS,52.971478,-1.131293,Outstanding,3/14/2019,Outstanding,Outstanding,Good,Good,Good,http://www.cqc.org.uk/location/1-127132249,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH9614.pdf,included
344,1-102643442,1-127132265,Location,Independent Healthcare Org,The Priory Hospital Preston,North West,PR4 0HB,53.800777,-2.783854,Good,3/28/2018,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-127132265,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG9190.pdf,included
345,1-102643442,1-127132286,Location,Independent Healthcare Org,The Priory Hospital Roehampton,London,SW15 5JJ,51.462539,-0.251509,Good,5/3/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-127132286,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2641.pdf,included
346,1-102643442,1-127132331,Location,Independent Healthcare Org,The Priory Hospital Woking,South East,GU21 2QF,51.319825,-0.622628,Good,6/20/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/location/1-127132331,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2962.pdf,included
347,1-102643442,1-127132351,Location,Independent Healthcare Org,The Priory Ticehurst House,South East,TN5 7HU,51.049554,0.398378,Good,12/20/2019,Good,Good,Good,Inadequate,Inadequate,http://www.cqc.org.uk/location/1-127132351,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6074.pdf,included
348,1-102643442,1-127132376,Location,Independent Healthcare Org,Woodbourne Priory Hospital,West Midlands,B17 8BY,52.471692,-1.955822,Good,9/12/2017,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/location/1-127132376,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1925.pdf,included
